id vezetekNev keresztNev kor email szulhely testverekSzama
0 Farkas Martin 26 FarkasMartin26@gmail.com Debrecen 2
1 Molnár Martin 22 MolnárMartin22@gmail.com Budapest 4
2 Horváth Noémi 17 HorváthNoémi17@business.com Győr 6
3 Balogh Patrik 10 BaloghPatrik10@freemail.com Debrecen 10
4 Kovács Péter 27 KovácsPéter27@gmail.com Budapest 2
5 Kovács Bence 29 KovácsBence29@business.com Debrecen 8
6 Kiss Noémi 29 KissNoémi29@freemail.com Nyíregyháza 7
7 Molnár Natália 29 MolnárNatália29@citromail.com Győr 5
8 Varga Péter 29 VargaPéter29@citromail.com Kecskemét 1
9 Szabó Dávid 29 SzabóDávid29@gmail.com Budapest 8
10 Tóth Lívia 23 TóthLívia23@business.com Nagyvárad 6
11 Molnár Natália 11 MolnárNatália11@business.com Pécs 0
12 Szabó Attila 22 SzabóAttila22@freemail.com Budapest 0
13 Szabó Martin 19 SzabóMartin19@freemail.com Győr 3
14 Farkas Bence 17 FarkasBence17@gmail.com Debrecen 5
15 Kovács Noémi 21 KovácsNoémi21@business.com Pécs 6
16 Nagy Attila 14 NagyAttila14@citromail.com Nagyvárad 10
17 Nagy Attila 18 NagyAttila18@citromail.com Miskolc 10
18 Szabó Noémi 11 SzabóNoémi11@freemail.com Győr 3
19 Vass Bence 15 VassBence15@gmail.com Győr 5
20 Molnár Péter 20 MolnárPéter20@gmail.com Nyíregyháza 0
21 Tóth Martin 20 TóthMartin20@gmail.com Budapest 2
22 Kiss Attila 12 KissAttila12@freemail.com Kecskemét 0
23 Tóth Dávid 24 TóthDávid24@citromail.com Budapest 9
24 Vass Patrik 15 VassPatrik15@business.com Debrecen 2
25 Horváth Noémi 11 HorváthNoémi11@business.com Kecskemét 7
26 Varga Lívia 12 VargaLívia12@freemail.com Eger 8
27 Farkas Bence 29 FarkasBence29@gmail.com Debrecen 1
28 Varga Noémi 26 VargaNoémi26@citromail.com Miskolc 7
29 Tóth Bence 13 TóthBence13@business.com Nagyvárad 10
30 Balogh Ákos 14 BaloghÁkos14@citromail.com Pécs 9
31 Kiss Natália 22 KissNatália22@business.com Kecskemét 9
32 Szabó Martin 19 SzabóMartin19@business.com Budapest 9
33 Tóth Péter 25 TóthPéter25@freemail.com Nagyvárad 4
34 Kovács Noémi 11 KovácsNoémi11@citromail.com Eger 4
35 Molnár Ákos 25 MolnárÁkos25@freemail.com Kecskemét 0
36 Nagy László 25 NagyLászló25@business.com Pécs 0
37 Horváth Lívia 29 HorváthLívia29@freemail.com Nyíregyháza 9
38 Farkas Attila 19 FarkasAttila19@freemail.com Eger 6
