id vezetekNev keresztNev kor szulhely
0 Molnár Natália 22 Debrecen
1 Varga Ákos 16 Pécs
2 Szabó Péter 29 Nyíregyháza
3 Farkas Bence 16 Debrecen
4 Szabó Dávid 30 Győr
5 Kovács Bence 28 Kecskemét
6 Tóth Martin 15 Győr
7 Vass Péter 21 Eger
8 Molnár László 16 Nyíregyháza
9 Molnár Patrik 29 Budapest
10 Tóth László 11 Nagyvárad
11 Farkas Péter 26 Budapest
12 Horváth Bence 27 Miskolc
13 Tóth Martin 27 Kecskemét
14 Szabó Bence 28 Miskolc
15 Kiss Ákos 16 Eger
16 Vass Péter 28 Miskolc
17 Nagy Natália 12 Debrecen
18 Kovács Péter 14 Nagyvárad
19 Szabó Attila 10 Debrecen
20 Varga Patrik 30 Miskolc
21 Vass Natália 18 Nyíregyháza
22 Molnár Ákos 24 Győr
23 Vass Attila 15 Győr
24 Farkas Dávid 25 Debrecen
25 Varga Natália 18 Győr
26 Kovács László 23 Budapest
27 Kiss Bence 21 Budapest
28 Nagy Ákos 25 Pécs
29 Balogh László 26 Miskolc
30 Molnár Ákos 19 Nyíregyháza
31 Kiss Natália 22 Miskolc
32 Kiss Patrik 16 Miskolc
33 Balogh Dávid 19 Nyíregyháza
34 Horváth Martin 16 Budapest
35 Horváth László 17 Debrecen
36 Molnár Dávid 19 Eger
37 Kiss László 23 Miskolc
38 Vass Noémi 20 Nagyvárad
39 Varga Dávid 30 Győr
40 Molnár Attila 13 Kecskemét
41 Tóth Lívia 23 Miskolc
42 Kovács Bence 22 Győr
43 Vass Natália 12 Győr
44 Szabó Martin 15 Miskolc
45 Balogh Attila 12 Eger
46 Farkas Patrik 30 Nagyvárad
47 Vass Lívia 18 Pécs
48 Horváth Bence 28 Pécs
49 Horváth László 11 Nyíregyháza
50 Vass Dávid 14 Nagyvárad
51 Nagy Lívia 17 Debrecen
52 Vass Noémi 13 Debrecen
53 Varga Dávid 30 Miskolc
54 Szabó Lívia 24 Nyíregyháza
55 Kiss Lívia 30 Nagyvárad
56 Tóth Péter 30 Budapest
57 Varga Attila 26 Pécs
58 Farkas Ákos 19 Nagyvárad
59 Vass Attila 30 Kecskemét
60 Farkas Lívia 12 Miskolc
61 Tóth Péter 11 Kecskemét
62 Szabó Péter 19 Győr
63 Kovács Ákos 26 Nagyvárad
64 Kiss Bence 11 Miskolc
65 Tóth Patrik 20 Nagyvárad
66 Farkas Péter 15 Debrecen
67 Vass Natália 23 Pécs
68 Farkas Noémi 12 Eger
69 Horváth Natália 19 Eger
